时间	CPU百分比	内存百分比	磁盘百分比	发送字节数	接收字节数
2020-12-15 17:26:55	12.5	svmem(total=17095811072, available=9939632128, percent=41.9, used=7156178944, free=9939632128)	72.7	858176695	10060108718
2020-12-15 17:26:58	8.9	svmem(total=17095811072, available=9932029952, percent=41.9, used=7163781120, free=9932029952)	72.7	858184117	10060129009
2020-12-15 17:27:01	4.2	svmem(total=17095811072, available=9925140480, percent=41.9, used=7170670592, free=9925140480)	72.7	858185756	10060163499
2020-12-15 17:27:04	1.3	svmem(total=17095811072, available=9927995392, percent=41.9, used=7167815680, free=9927995392)	72.7	858188971	10060175304
2020-12-15 17:27:07	4.0	svmem(total=17095811072, available=9925324800, percent=41.9, used=7170486272, free=9925324800)	72.7	858190697	10060184832
2020-12-15 17:27:10	4.2	svmem(total=17095811072, available=9924591616, percent=41.9, used=7171219456, free=9924591616)	72.7	858192622	10060197597
2020-12-15 17:27:13	2.1	svmem(total=17095811072, available=9929527296, percent=41.9, used=7166283776, free=9929527296)	72.7	858193097	10060207958
2020-12-15 17:27:16	1.3	svmem(total=17095811072, available=9931567104, percent=41.9, used=7164243968, free=9931567104)	72.7	858194606	10060218033
2020-12-15 17:27:19	1.3	svmem(total=17095811072, available=9934061568, percent=41.9, used=7161749504, free=9934061568)	72.7	858199306	10060233701
2020-12-15 17:27:22	3.3	svmem(total=17095811072, available=9927327744, percent=41.9, used=7168483328, free=9927327744)	72.7	858201385	10060244276
2020-12-15 17:27:25	5.2	svmem(total=17095811072, available=9945665536, percent=41.8, used=7150145536, free=9945665536)	72.7	858204326	10060251832
2020-12-15 17:27:28	5.6	svmem(total=17095811072, available=9952186368, percent=41.8, used=7143624704, free=9952186368)	72.7	858209864	10060267441
2020-12-15 17:27:31	6.0	svmem(total=17095811072, available=9957371904, percent=41.8, used=7138439168, free=9957371904)	72.7	858213111	10060281661
2020-12-15 17:27:34	4.6	svmem(total=17095811072, available=9957588992, percent=41.8, used=7138222080, free=9957588992)	72.7	858216579	10060293110
2020-12-15 17:27:37	5.0	svmem(total=17095811072, available=9957625856, percent=41.8, used=7138185216, free=9957625856)	72.7	858218430	10060304446
2020-12-15 17:27:40	4.1	svmem(total=17095811072, available=9956573184, percent=41.8, used=7139237888, free=9956573184)	72.7	858219889	10060313982
2020-12-15 17:27:43	3.5	svmem(total=17095811072, available=9957740544, percent=41.8, used=7138070528, free=9957740544)	72.7	858221841	10060323189
2020-12-15 17:27:47	9.6	svmem(total=17095811072, available=9938022400, percent=41.9, used=7157788672, free=9938022400)	72.7	858225836	10060333956
2020-12-15 17:27:50	4.1	svmem(total=17095811072, available=9935593472, percent=41.9, used=7160217600, free=9935593472)	72.7	858226162	10060346750
2020-12-15 17:27:53	4.8	svmem(total=17095811072, available=9936564224, percent=41.9, used=7159246848, free=9936564224)	72.7	858228434	10060358345
2020-12-15 17:27:56	26.7	svmem(total=17095811072, available=10322186240, percent=39.6, used=6773624832, free=10322186240)	72.7	858361459	10061332987
2020-12-15 17:27:59	7.3	svmem(total=17095811072, available=10333700096, percent=39.6, used=6762110976, free=10333700096)	72.7	858367029	10061357771
